,userid,tweetid,text,hashtags
108540,153747564,1498413503144775681,Green Day cancel Moscow gig over invasion of Ukraine https://t.co/a4oxy58pop via @rte @GreenDay and @InhalerDublin have cancelled shows in #Russia over the invasion of #Ukraine #GreenDay,"[{'text': 'Russia', 'indices': [139, 146]}, {'text': 'Ukraine', 'indices': [168, 176]}, {'text': 'GreenDay', 'indices': [177, 186]}]"
70476,1299640462047956993,1498379815547813895,"List of frequencies used by Russian military - Ukraine invasion. https://t.co/BLhm9yFJ5Q 

#UkraineRussiaWar #UkraineUnderAttack https://t.co/NnSRSUEJxP","[{'text': 'UkraineRussiaWar', 'indices': [103, 120]}]"
96386,6038642,1498402359516573703,".@Curaleaf_Inc chairman calls allegations of his links to Russian oligarchs ‘rumours and misinformation’ - via @TheGrowthOp

#Cannabis #russia #news  https://t.co/Kzds24zNqq","[{'text': 'Cannabis', 'indices': [125, 134]}, {'text': 'russia', 'indices': [135, 142]}, {'text': 'news', 'indices': [143, 148]}]"
88471,1497988546333970433,1498395072601149441,Allegedly the U.S military has been training nazis based out of Mariupol #Ukraine since 2015. Research #AzovBattalion https://t.co/Lw1yyaRjKs,"[{'text': 'Ukraine', 'indices': [93, 101]}, {'text': 'AzovBattalion', 'indices': [123, 137]}]"
50033,456066153,1498361180515143686,"#Ukrainian #MoD offers Russian soldiers full amnesty and financial compensation.
""We offer #Russian soldiers a choice: to die in an unjust war or a full amnesty and 5 million rubles in compensation.  If they lay down their arms and surrender voluntarily"".#Ukraine #Russia #war https://t.co/URAsI1gv8p","[{'text': 'Ukrainian', 'indices': [0, 10]}, {'text': 'MoD', 'indices': [11, 15]}, {'text': 'Russian', 'indices': [91, 99]}, {'text': 'Ukraine', 'indices': [255, 263]}, {'text': 'Russia', 'indices': [264, 271]}, {'text': 'war', 'indices': [272, 276]}]"
